product,Sterimol_L,Sterimol_B1,Sterimol_B5,SASA_Area,SASA_Volume,Disp_int,Disp_Volume,Disp_Area,XTB_ip,XTB_ea,XTB_HOMO,XTB_LUMO,XTB_Dipol_1,XTB_Dipole_2,XTB_Dipole_3,XTB_Electrophilicity,XTB_Nucleophilicity
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][cH:14][cH:15][c:16]4[cH:17][cH:18]3)[cH:19][n:20]21,6.658463509135307,2.0198621547401325,12.015565035547835,490.9631979944296,773.3454253702885,19.036937623523336,341.2707380185625,344.525755872945,11.756938868440916,4.388042931549103,-0.3523689534508188,-0.247095110781697,-1.7813410527234887,-0.0874819630098061,0.87328467433806,0.7063638580938918,-6.910938868440917
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][c:11]4[cH:12][cH:13][c:14]([O:15][CH3:16])[cH:17][c:18]4[cH:19][cH:20]3)[cH:21][n:22]21,6.124021220816996,1.991221962197533,13.90145747919014,532.5125634436068,845.4630665537385,19.092507454563133,375.1997763159316,380.33653275679313,11.524889158853302,4.384053109047119,-0.347910827786531,-0.2448855411628581,-1.54358963014632,0.340951639398527,0.0218270691400929,0.6765729337017874,-6.678889158853302
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8]([C:9]([O:10][CH2:11][CH3:12])=[O:13])[cH:14][n:15]21,6.427880840125609,1.990043754898979,9.96599384796506,426.149509818066,642.4670205868281,16.994286455768453,273.96557148677823,292.8032471939558,12.99311602056178,3.5271064676717887,-0.3759643699076321,-0.2399186261685834,-1.954880583779296,-0.3545684335970334,0.1307276925592941,0.615684757239972,-8.14711602056178
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][n:14]21,5.83225362601237,1.9827426141342357,7.232127482036702,368.94820708365233,552.1500920190196,16.609134706345163,225.82324119523253,241.85139241573108,13.846925304122578,2.800015444194589,-0.3974592375199339,-0.2210191533683856,-3.2025614881892217,0.435195694782482,0.2285530922618384,0.5473385931669703,-9.000925304122578
[CH3:1][Si:2]([O:3][CH2:4][C@H:5]1[CH2:6][CH2:7][CH2:8][c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[cH:18][n:19]21)([CH3:20])[C:21]([CH3:22])([CH3:23])[CH3:24],7.723295479217271,3.452081583619351,12.219774361846987,613.2531187934726,1021.9097585730692,19.50277855760068,475.7961122504234,468.2548539703625,11.672148727799089,3.728500881728601,-0.3586703977784551,-0.2269844359797031,-1.4651125170434147,-0.0268831910625077,-0.0507208259216285,0.5128103768547817,-6.826148727799088
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:16]21,6.111510625054133,2.4063097392275035,6.707127592843046,410.75185121215975,640.8391495459082,18.58590115767281,284.332030707443,288.2467774124452,12.33440747563048,3.789812671525174,-0.3603985751509611,-0.2330016740843491,0.4417889511964712,0.8508177411648847,-1.3047924435427878,0.6052577238887465,-7.488407475630479
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,5.381066244519875,1.9863412018658413,5.382894559901402,307.8508716673646,449.6160388770654,16.54118262403328,191.2833355558744,204.27091854926795,13.018111579049382,1.811744917611566,-0.3631352783638147,-0.1882719443933037,0.89612822003008,-1.6199590961613526,0.2271474840399753,0.2944483499625004,-8.172111579049382
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,5.381064873695353,1.986282519797407,5.382895831401328,308.3208751949894,450.165196896446,16.583582054172293,192.30164965914463,205.4705619812981,13.018111947634806,1.8117429626046584,-0.3631352913912914,-0.1882718750176868,-1.273576858177767,-1.3601772873980489,-0.0826774146605239,0.294448107075701,-8.172111947634805
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,5.381066581411947,1.9862262056664128,5.382895095317158,307.8608765005539,449.5620107924333,16.568808800072446,192.41270168490337,205.57000246031583,13.018111880594684,1.811746004320782,-0.3631351918386822,-0.1882719414425431,0.1552829361461962,-1.8397634646637289,0.2646890510854434,0.2944485297133317,-8.172111880594683
[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[cH:7][n:8][cH:9][n:10]21,5.381063787858032,1.9864925801342268,5.382897162186422,308.3008694306439,450.1813679299052,16.556889122456116,192.00519726168463,204.8701296517889,13.01811205275869,1.811744063281856,-0.3631352075786285,-0.1882718700551608,1.4055948402943104,-1.1825575629656568,-0.3236886061978348,0.294448271441776,-8.17211205275869
