substrate,Sterimol_L,Sterimol_B1,Sterimol_B5,SASA_Area,SASA_Volume,Disp_int,Disp_Volume,Disp_Area,XTB_ip,XTB_ea,XTB_HOMO,XTB_LUMO,XTB_Dipol_1,XTB_Dipole_2,XTB_Dipole_3,XTB_Electrophilicity,XTB_Nucleophilicity
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:16]12,6.879555053735415,2.0870089010213237,5.691002003464456,399.4027680164328,615.5715605218958,19.216101639540994,264.83139133268776,274.2214503479605,12.409057818865191,4.404839897719742,-0.3642611438148601,-0.2475515012177307,-0.5013149349113504,0.2390194178444962,-1.5174725770851871,0.7921046688318919,-7.563057818865191
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,6.8747686810286615,1.885090817116576,5.316939581359218,305.24176600773137,439.4905120447043,16.993494313285026,181.37565612953995,196.460137043958,10.873813415399496,3.3247838302994634,-0.297582516653373,-0.2289944279622169,-0.34710044859013,-0.772449916895106,0.3771363735207539,0.3362918787440463,-6.0278134153994944
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,6.874768661101637,1.884889279254504,5.3169401686798885,305.401767184862,439.74568775670457,16.93468413646298,181.1925325344615,195.46027476839976,10.873813312350917,3.324783715477216,-0.2975825277866171,-0.2289944449120566,0.8117401289619395,0.0478081889634611,0.4451754214176607,0.3362918457035878,-6.027813312350915
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,6.874768566046605,1.8848597158879512,5.316939588038887,305.54177070400374,439.8096488256276,16.987183311533236,180.98362865152143,195.8597278743408,10.873813966213971,3.3247836664629777,-0.2975825289513492,-0.2289944801705258,-0.1753280548766108,-0.7599476385254111,-0.5011308001303194,0.3362919046622349,-6.027813966213971
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,6.874768772065648,1.885061219665747,5.316937890019627,305.19176831913194,439.50612010381366,17.06134587045262,182.0388920133881,197.65895474471657,10.873815373089402,3.3247844962471893,-0.2975825134284843,-0.2289944804589554,-0.26276450864175,-0.8547795730150765,-0.2443300489486544,0.3362922127628138,-6.0278153730894015
[CH3:1][C:2]1=[CH:3][CH:4]=[CH:5][C:6]2=[CH:7][NH:8][CH2:9][N:10]12,6.874768687468544,1.8847893807084095,5.316941113114506,305.1817652852097,439.3823926864212,16.94018293896427,181.7395620883512,196.2598975045503,10.873813176652057,3.3247837087273227,-0.2975825222099961,-0.2289944286165469,-0.4017985934582442,-0.7873827539391991,-0.2792425722144711,0.3362918301883094,-6.027813176652055
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,6.854240056055016,1.8789137658857051,5.44447394224556,299.4322003407016,426.0829893721416,17.108816424208698,170.26992712394008,187.34668453651807,12.776265258456355,3.787747230290615,-0.3659771414505597,-0.2457058406976926,-0.6022565070569277,0.448854967405415,-0.0113260882025831,0.6567344513510881,-7.930265258456357
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,6.854240042863987,1.8790206694175389,5.444473493003221,299.47220212909406,426.1897090736944,17.16727297417186,171.29390726303842,188.54611614699948,12.776265141644071,3.787747180989157,-0.3659771761395418,-0.2457059101938642,-0.4426150761202954,0.6061517495103246,-0.0312795267019336,0.6567344245338486,-7.930265141644071
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,6.854240051800928,1.878712313959202,5.44447420725966,299.4822007378564,426.1017697128187,17.105410690673782,170.32436738936923,187.2469180414598,12.776265090877418,3.7877471777128666,-0.3659771689966567,-0.245705914010929,0.3879786484252165,0.6235269259678802,-0.1580910104682867,0.6567344176742763,-7.930265090877418
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,6.85424005987552,1.8788211828382717,5.444474120585642,299.3822010543619,426.0504507898506,17.145638239488555,170.81062991658484,188.246510595739,12.77626518730439,3.787747204326228,-0.3659771706319197,-0.245705865509252,-0.5433813091313557,0.4774174790852958,-0.2027870817817026,0.6567344360905127,-7.930265187304389
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][n:9][n:10]12,6.854240094159074,1.8785454309014595,5.444474532906591,299.1421939225412,425.77029936325255,17.10745513883601,170.83573688043288,187.44651552376385,12.776265032685988,3.7877471638433966,-0.365977139384849,-0.2457059053427883,0.3125317963465308,-0.6803626662509874,-0.0611029204694045,0.6567344071393817,-7.930265032685988
