substrate,product,mapped_reaction,hydrogenated_atoms
[c:1]1([CH2:2][CH2:3][c:4]2[n:5][cH:6][cH:7][cH:8][cH:9]2)[cH:10][cH:11][cH:12][c:13]2[n:14][cH:15][cH:16][n:17]12,[C@H:1]1([CH2:2][CH2:3][c:4]2[n:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][CH2:11][CH2:12][c:13]2[n:14][cH:15][cH:16][n:17]21,[c:1]1([CH2:2][CH2:3][c:4]2[n:5][cH:6][cH:7][cH:8][cH:9]2)[cH:10][cH:11][cH:12][c:13]2[n:14][cH:15][cH:16][n:17]12>>[C@H:1]1([CH2:2][CH2:3][c:4]2[n:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][CH2:11][CH2:12][c:13]2[n:14][cH:15][cH:16][n:17]21,"[1, 10, 11, 12]"
[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[n:15][cH:16][cH:17][n:18]12,[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[CH2:8][CH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[n:15][cH:16][cH:17][n:18]21,[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[n:15][cH:16][cH:17][n:18]12>>[O:1]=[C:2]([N:3]([CH2:4][CH3:5])[CH2:6][CH3:7])[CH2:8][CH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[n:15][cH:16][cH:17][n:18]21,"[10, 11, 12, 13]"
[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]2[n:12][cH:13][cH:14][n:15]12,[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][C@H:7]1[CH2:8][CH2:9][CH2:10][c:11]2[n:12][cH:13][cH:14][n:15]21,[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]2[n:12][cH:13][cH:14][n:15]12>>[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][CH2:6][C@H:7]1[CH2:8][CH2:9][CH2:10][c:11]2[n:12][cH:13][cH:14][n:15]21,"[7, 8, 9, 10]"
[c:1]1([CH2:2][CH2:3][O:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][cH:13][cH:14][c:15]2[n:16][cH:17][cH:18][n:19]12,[C@H:1]1([CH2:2][CH2:3][O:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][CH2:13][CH2:14][c:15]2[n:16][cH:17][cH:18][n:19]21,[c:1]1([CH2:2][CH2:3][O:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[cH:12][cH:13][cH:14][c:15]2[n:16][cH:17][cH:18][n:19]12>>[C@H:1]1([CH2:2][CH2:3][O:4][CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[CH2:12][CH2:13][CH2:14][c:15]2[n:16][cH:17][cH:18][n:19]21,"[1, 12, 13, 14]"
[CH3:1][Si:2]([C:3]([CH3:4])([CH3:5])[CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]2[n:16][cH:17][cH:18][n:19]12,[CH3:1][Si:2]([C:3]([CH3:4])([CH3:5])[CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][C@H:11]1[CH2:12][CH2:13][CH2:14][c:15]2[n:16][cH:17][cH:18][n:19]21,[CH3:1][Si:2]([C:3]([CH3:4])([CH3:5])[CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]2[n:16][cH:17][cH:18][n:19]12>>[CH3:1][Si:2]([C:3]([CH3:4])([CH3:5])[CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][C@H:11]1[CH2:12][CH2:13][CH2:14][c:15]2[n:16][cH:17][cH:18][n:19]21,"[11, 12, 13, 14]"
[CH3:1][Si:2]([CH3:3])([C:4]([CH3:5])([CH3:6])[CH3:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[n:15][cH:16][cH:17][n:18]12,[CH3:1][Si:2]([CH3:3])([C:4]([CH3:5])([CH3:6])[CH3:7])[O:8][CH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[n:15][cH:16][cH:17][n:18]21,[CH3:1][Si:2]([CH3:3])([C:4]([CH3:5])([CH3:6])[CH3:7])[O:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]2[n:15][cH:16][cH:17][n:18]12>>[CH3:1][Si:2]([CH3:3])([C:4]([CH3:5])([CH3:6])[CH3:7])[O:8][CH2:9][C@H:10]1[CH2:11][CH2:12][CH2:13][c:14]2[n:15][cH:16][cH:17][n:18]21,"[10, 11, 12, 13]"
[c:1]1(-[c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:8][cH:9][cH:10][c:11]2[n:12][cH:13][cH:14][n:15]12,[C@H:1]1([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[CH2:8][CH2:9][CH2:10][c:11]2[n:12][cH:13][cH:14][n:15]21,[c:1]1(-[c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:8][cH:9][cH:10][c:11]2[n:12][cH:13][cH:14][n:15]12>>[C@H:1]1([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[CH2:8][CH2:9][CH2:10][c:11]2[n:12][cH:13][cH:14][n:15]21,"[1, 8, 9, 10]"
[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]3[n:16][cH:17][cH:18][n:19]23)[cH:9][cH:8]1,[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:10]([C@H:11]2[CH2:12][CH2:13][CH2:14][c:15]3[n:16][cH:17][cH:18][n:19]32)[cH:9][cH:8]1,[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:10](-[c:11]2[cH:12][cH:13][cH:14][c:15]3[n:16][cH:17][cH:18][n:19]23)[cH:9][cH:8]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:10]([C@H:11]2[CH2:12][CH2:13][CH2:14][c:15]3[n:16][cH:17][cH:18][n:19]32)[cH:9][cH:8]1,"[11, 12, 13, 14]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][n:16]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][n:16]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][n:16]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[cH:15][n:16]21,"[2, 3, 4, 5]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([F:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]12,[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([F:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]21,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([F:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]12>>[CH3:1][C@H:2]1[CH2:3][CH2:4][CH2:5][c:6]2[n:7][c:8](-[c:9]3[c:10]([F:11])[cH:12][cH:13][cH:14][cH:15]3)[cH:16][n:17]21,"[2, 3, 4, 5]"
