substrate,product,mapped_reaction,hydrogenated_atoms
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,"[2, 3]"
[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12,[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,[CH3:1][c:2]1[cH:3][n:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12>>[CH3:1][C@@H:2]1[CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21,"[2, 3]"
[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,"[2, 17]"
[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,"[2, 17]"
[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,"[2, 17]"
[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10],[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,[CH3:1][c:2]1[cH:17][c:16]2[cH:15][cH:14][cH:13][cH:12][c:11]2[n:3]1[C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10]>>[CH3:1][C@H:2]1[N:3]([C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH2:17]1,"[2, 17]"
[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:23][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:8][c:6]2[cH:7]1,[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[c:6]([n:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[n:23]2)[CH2:7]1,[CH3:1][c:2]1[cH:3][cH:4][c:5]2[n:23][c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:8][c:6]2[cH:7]1>>[CH3:1][CH:2]1[CH2:3][CH2:4][c:5]2[c:6]([n:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[c:16](-[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[n:23]2)[CH2:7]1,"[2, 3, 4, 7]"
[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8]2[n:26][c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:11][c:9]2[cH:10]1,[F:1][C:2]([F:3])([F:4])[CH:5]1[CH2:6][CH2:7][c:8]2[c:9]([n:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:26]2)[CH2:10]1,[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8]2[n:26][c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:11][c:9]2[cH:10]1>>[F:1][C:2]([F:3])([F:4])[CH:5]1[CH2:6][CH2:7][c:8]2[c:9]([n:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:26]2)[CH2:10]1,"[5, 6, 7, 10]"
[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]2[n:24][c:17](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:9][c:7]2[cH:8]1,[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][c:6]2[c:7]([n:9][c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[c:17](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[n:24]2)[CH2:8]1,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]2[n:24][c:17](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:9][c:7]2[cH:8]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][c:6]2[c:7]([n:9][c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[c:17](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[n:24]2)[CH2:8]1,"[3, 4, 5, 8]"
[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][c:7]2[n:25][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[n:10][c:8]2[cH:9]1,[CH3:1][CH2:2][CH2:3][CH:4]1[CH2:5][CH2:6][c:7]2[c:8]([n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[n:25]2)[CH2:9]1,[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][c:7]2[n:25][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[n:10][c:8]2[cH:9]1>>[CH3:1][CH2:2][CH2:3][CH:4]1[CH2:5][CH2:6][c:7]2[c:8]([n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[n:25]2)[CH2:9]1,"[4, 5, 6, 9]"
[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]2[n:26][c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:11][c:9]2[cH:10]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]1[CH2:6][CH2:7][c:8]2[c:9]([n:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:26]2)[CH2:10]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][c:8]2[n:26][c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[n:11][c:9]2[cH:10]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH:5]1[CH2:6][CH2:7][c:8]2[c:9]([n:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[c:19](-[c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[n:26]2)[CH2:10]1,"[5, 6, 7, 10]"
[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][c:14]2[n:32][c:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[n:17][c:15]2[cH:16]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH:11]1[CH2:12][CH2:13][c:14]2[c:15]([n:17][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[c:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[n:32]2)[CH2:16]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][c:14]2[n:32][c:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[n:17][c:15]2[cH:16]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH:11]1[CH2:12][CH2:13][c:14]2[c:15]([n:17][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[c:25](-[c:26]3[cH:27][cH:28][cH:29][cH:30][cH:31]3)[n:32]2)[CH2:16]1,"[11, 12, 13, 16]"
[CH3:1][CH:2]([CH2:3][c:4]1[cH:5][cH:6][c:7]2[n:25][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[n:10][c:8]2[cH:9]1)[CH3:26],[CH3:1][CH:2]([CH2:3][CH:4]1[CH2:5][CH2:6][c:7]2[c:8]([n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[n:25]2)[CH2:9]1)[CH3:26],[CH3:1][CH:2]([CH2:3][c:4]1[cH:5][cH:6][c:7]2[n:25][c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[n:10][c:8]2[cH:9]1)[CH3:26]>>[CH3:1][CH:2]([CH2:3][CH:4]1[CH2:5][CH2:6][c:7]2[c:8]([n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][cH:16][cH:17]3)[c:18](-[c:19]3[cH:20][cH:21][cH:22][cH:23][cH:24]3)[n:25]2)[CH2:9]1)[CH3:26],"[4, 5, 6, 9]"
[c:1]1(-[c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1,[CH:1]1([c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,[c:1]1(-[c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1>>[CH:1]1([c:23]2[cH:24][cH:25][cH:26][cH:27][cH:28]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,"[1, 2, 3, 6]"
[c:1]1([CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1,[CH:1]1([CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,[c:1]1([CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1>>[CH:1]1([CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,"[1, 2, 3, 6]"
[c:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1,[CH:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,[c:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1>>[CH:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,"[1, 2, 3, 6]"
[c:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1,[CH:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,[c:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[cH:2][cH:3][c:4]2[n:22][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[n:7][c:5]2[cH:6]1>>[CH:1]1([CH2:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:2][CH2:3][c:4]2[c:5]([n:7][c:8](-[c:9]3[cH:10][cH:11][cH:12][cH:13][cH:14]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[CH2:6]1,"[1, 2, 3, 6]"
[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([O:6][CH2:7][c:8]1[cH:9][cH:10][c:11]2[n:29][c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:14][c:12]2[cH:13]1)([c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([O:6][CH2:7][CH:8]1[CH2:9][CH2:10][c:11]2[c:12]([n:14][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[n:29]2)[CH2:13]1)([c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([O:6][CH2:7][c:8]1[cH:9][cH:10][c:11]2[n:29][c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:14][c:12]2[cH:13]1)([c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([O:6][CH2:7][CH:8]1[CH2:9][CH2:10][c:11]2[c:12]([n:14][c:15](-[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[c:22](-[c:23]3[cH:24][cH:25][cH:26][cH:27][cH:28]3)[n:29]2)[CH2:13]1)([c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[c:36]1[cH:37][cH:38][cH:39][cH:40][cH:41]1,"[8, 9, 10, 13]"
[CH3:1][c:2]1[c:3]2[c:4]([n:8][c:9](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:17]2)[cH:5][cH:6][cH:7]1,[CH3:1][CH:2]1[c:3]2[c:4]([n:8][c:9](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:17]2)[CH2:5][CH2:6][CH2:7]1,[CH3:1][c:2]1[c:3]2[c:4]([n:8][c:9](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:17]2)[cH:5][cH:6][cH:7]1>>[CH3:1][CH:2]1[c:3]2[c:4]([n:8][c:9](-[c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[c:10](-[c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[n:17]2)[CH2:5][CH2:6][CH2:7]1,"[2, 5, 6, 7]"
[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[cH:7][c:8](-[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[o:15]2>>[c:1]12[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][C@@H:8]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[O:15]2,"[7, 8]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1-[c:8]1[cH:16][c:15]2[cH:14][cH:13][cH:12][cH:11][c:10]2[o:9]1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C@H:8]1[O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[CH2:16]1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1-[c:8]1[cH:16][c:15]2[cH:14][cH:13][cH:12][cH:11][c:10]2[o:9]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][cH:6][c:7]1[C@H:8]1[O:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[CH2:16]1,"[8, 16]"
[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[cH:15][c:14]3[cH:13][cH:12][cH:11][cH:10][c:9]3[o:8]2)[cH:16]1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([C@H:7]2[O:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[CH2:15]2)[cH:16]1,[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[cH:15][c:14]3[cH:13][cH:12][cH:11][cH:10][c:9]3[o:8]2)[cH:16]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([C@H:7]2[O:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[CH2:15]2)[cH:16]1,"[7, 15]"
[CH3:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:16][c:15]3[cH:14][cH:13][cH:12][cH:11][c:10]3[o:9]2)[cH:6][cH:5]1,[CH3:1][c:2]1[cH:3][cH:4][c:7]([C@H:8]2[O:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[CH2:16]2)[cH:6][cH:5]1,[CH3:1][c:2]1[cH:3][cH:4][c:7](-[c:8]2[cH:16][c:15]3[cH:14][cH:13][cH:12][cH:11][c:10]3[o:9]2)[cH:6][cH:5]1>>[CH3:1][c:2]1[cH:3][cH:4][c:7]([C@H:8]2[O:9][c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[CH2:16]2)[cH:6][cH:5]1,"[8, 16]"
